cont_comuna,prevision,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13
Aisén,FONASA,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
Alhué,FONASA,,1.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,3.0,7.0,1.0,5.0,3.0,3.0,7.0,6.0,3.0,2.0,1.0,4.0,,6.0,5.0,4.0,3.0,2.0,3.0,1.0,3.0,,1.0,1.0,2.0,,3.0,3.0,1.0,3.0,,,,2.0
Alhué,ISAPRE,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,3.0,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,
Ancud,FONASA,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,
Antofagasta,FONASA,,5.0,1.0,2.0,5.0,4.0,2.0,1.0,,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,,1.0,,2.0,1.0,5.0,2.0,1.0,3.0,1.0
Antofagasta,ISAPRE,1.0,1.0,1.0,,2.0,,3.0,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,1.0,4.0,1.0,1.0,,,3.0,2.0,2.0,,2.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,2.0,,
Arica,DESCONOCIDO,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
Arica,FONASA,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,,2.0,1.0,2.0,,2.0
Buin,CAPREDENA,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Buin,DESCONOCIDO,,4.0,2.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,5.0,3.0,4.0,1.0,6.0,1.0,3.0,6.0,5.0,8.0,2.0,4.0,3.0,5.0,2.0,1.0,3.0,,2.0,2.0,7.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,5.0,2.0,7.0,,6.0
